"Subject","Age","Gender","ProvinceTerritory","postalcode","electionmunicipal","safecommunity","safetransiting","education","childreninhousehold","income","democracy.satisfaction","safety.Canada","safety.city","Visible.Minority"
454,34,"Men","ON","L1S","No",7,4,7,NA,"$60,000 to $89,999","Fairly Neutral","Don't know","Don't know","No"
455,44,"Women","QB","G1C","Yes",10,10,5,1,"$60,000 to $89,999","Neutral","Got worse","Got worse","No"
456,21,"Men","ON","M3J","No",5,5,12,5,"Don’t know","Neutral","Don't know","Don't know","No"
457,31,"Men","ON","M5M","No",6,5,9,0,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","No"
458,31,"Men","ON","N5W","Yes",5,3,9,0,"$200,000 or more","Fairly Neutral","Got worse","Got worse","No"
459,45,"Women","BC","V5T","Yes",4,8,13,NA,"Prefer not to say","Not very satisfied","Got worse","Got worse","No"
460,38,"Women","BC","V1X","No",6,6,7,0,"$30,000 to $59,999","Fairly Neutral","Got worse","Got worse","No"
461,31,"Women","BC","V0K","Yes",7,5,5,2,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
462,22,"Women","ON","K2C","No",9,6,9,0,"Don’t know","Not very satisfied","Got worse","Stayed about the same","No"
463,40,"Men","AB","T2J","No",7,6,11,NA,"$150,000 to $199,999","Not at all satisfied","Stayed about the same","Stayed about the same","No"
464,36,NA,"SK","S6H","No",5,0,9,NA,"Less than $30,000","Not at all satisfied","Don't know","Don't know","No"
465,42,"Women","QB","G0S","Yes",8,3,7,1,"$30,000 to $59,999","Neutral","Stayed about the same","Got better","No"
466,20,"Women","NB","E3B","No",4,0,4,0,"Less than $30,000","Not very satisfied","Got worse","Got worse","No"
467,39,NA,"BC","V4G","Yes",5,5,11,1,"$60,000 to $89,999","Neutral","Stayed about the same","Got worse","No"
468,22,"Women","NB","E2V","No",6,4,11,0,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","No"
469,55,"Women","ON","L4H","Yes",6,6,10,1,"$90,000 to $109,999","Neutral","Stayed about the same","Stayed about the same","No"
470,20,"Women","BC","V3X","No",6,0,4,1,"Less than $30,000","Fairly Neutral","Got worse","Got worse","No"
471,22,"Women","BC","V8R","No",5,8,9,0,"$30,000 to $59,999","Fairly Neutral","Got worse","Got worse","No"
472,30,"Women","BC","V3V","Don't Know",5,2,7,NA,"Less than $30,000","Neutral","Got worse","Stayed about the same","No"
473,30,"Men","ON","L9T","No",8,5,4,0,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Got worse","No"
474,20,"Women","NS","B1V","Yes",4,4,8,0,"$60,000 to $89,999","Not very satisfied","Got worse","Stayed about the same","No"
475,30,"Men","AB","T2P","No",8,7,8,0,"$60,000 to $89,999","Neutral","Stayed about the same","Got worse","No"
476,43,"Men","AB","T2C","Yes",7,6,9,2,"$90,000 to $109,999","Neutral","Got worse","Got worse","No"
477,35,"Men","ON","M6R","Don't Know",7,5,7,0,"Prefer not to say","Fairly Neutral","Got worse","Got worse","No"
478,40,"Women","QB","H7N","Yes",9,7,3,0,"$90,000 to $109,999","Very Satisfied","Don't know","Stayed about the same","Yes"
479,29,"Men","BC","V2M","Yes",6,6,5,1,"$30,000 to $59,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
480,23,"Women","ON","M1K","No",8,7,5,0,"$30,000 to $59,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
481,33,"Men","ON","M2H","Yes",6,5,9,1,"$90,000 to $109,999","Not very satisfied","Got worse","Got worse","No"
482,34,"Men","BC","V0M","No",5,4,4,NA,"Less than $30,000","Not at all satisfied","Got worse","Got worse","Yes"
483,40,"Women","QB","H1A","Yes",7,6,7,0,"$60,000 to $89,999","Not at all satisfied","Stayed about the same","Stayed about the same","No"
484,25,"Men","BC","V7K","No",9,7,5,0,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
485,40,"Men","QB","J5W","Yes",10,8,8,1,"$150,000 to $199,999","Fairly Neutral","Got worse","Stayed about the same","No"
486,19,"Men","ON","N1R","No",10,6,5,3,"$60,000 to $89,999","Not very satisfied","Got worse","Stayed about the same","No"
487,40,"Men","ON","N9A","Yes",9,9,9,NA,"$30,000 to $59,999","Very Satisfied","Got better","Stayed about the same","No"
488,59,"Women","BC","V6Y","Yes",5,5,10,NA,"$30,000 to $59,999","Fairly Neutral","Got worse","Got worse","No"
489,40,"Women","BC","V3B","Yes",5,5,9,2,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
490,36,"Women","BC","V3J","No",8,7,6,1,"Less than $30,000","Neutral","Stayed about the same","Stayed about the same","No"
491,40,"Men","ON","M4N","Yes",8,9,11,1,"$150,000 to $199,999","Fairly Neutral","Got worse","Got worse","No"
492,31,"Women","ON","M6J","Yes",7,8,9,2,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
493,29,"Men","ON","M6K","No",5,6,9,NA,"$60,000 to $89,999","Very Satisfied","Got better","Stayed about the same","No"
494,20,"Men","ON","L7A","No",7,5,6,3,"Less than $30,000","Neutral","Got worse","Got worse","No"
495,41,"Men","AB","T9E","Yes",8,6,7,3,"$110,000 to $149,999","Not very satisfied","Got worse","Got worse","No"
496,40,"Men","BC","V6B","Prefer not to say",6,7,9,NA,"$90,000 to $109,999","Neutral","Stayed about the same","Stayed about the same","No"
497,44,"Men","SK","S3N","Yes",6,7,4,0,"$30,000 to $59,999","Neutral","Got worse","Stayed about the same","No"
498,23,"Men","ON","M2L","Yes",8,4,9,1,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
499,23,"Women","AB","T8A","No",8,10,6,1,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
500,20,"Men","ON","K0K","Yes",6,7,8,1,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
501,34,"Women","ON","K7P","Yes",8,5,7,0,"$110,000 to $149,999","Fairly Neutral","Don't know","Don't know","No"
502,22,"Women","ON","K0K","Yes",8,5,6,2,"$30,000 to $59,999","Fairly Neutral","Got worse","Stayed about the same","No"
503,18,"Women","QB","G0G","Prefer not to say",6,6,13,NA,"Prefer not to say","Neutral","Prefer not to say","Prefer not to say","No"
504,43,"Men","QB","G8C","Yes",10,5,7,0,"$110,000 to $149,999","Don't know","Stayed about the same","Stayed about the same","No"
505,34,"Men","AB","T2Y","No",10,7,9,NA,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
506,42,"Women","QB","J2S","No",5,5,3,NA,"Less than $30,000","Neutral","Don't know","Don't know","No"
507,22,"Women","QB","J1L","Yes",6,8,7,0,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
508,23,"Women","ON","M9B","Yes",8,6,9,3,"$200,000 or more","Fairly Neutral","Got worse","Got worse","No"
509,32,"Men","ON","L8H","Yes",10,9,9,2,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
510,38,"Women","QB","H1M","Yes",2,4,8,NA,"$30,000 to $59,999","Very Satisfied","Got worse","Got worse","No"
511,40,"Women","BC","V9R","No",5,4,6,NA,"$30,000 to $59,999","Fairly Neutral","Don't know","Don't know","No"
512,29,"Men","MN","R0K","Yes",10,10,8,1,"$200,000 or more","Not at all satisfied","Got worse","Stayed about the same","No"
513,22,"Men","BC","V2C","Yes",10,10,10,0,"$30,000 to $59,999","Very Satisfied","Got better","Got better","Yes"
514,27,"Men","BC","V5K","Yes",6,5,9,NA,"Less than $30,000","Very Satisfied","Got worse","Got worse","No"
515,32,"Women","SK","S4Y","Yes",6,7,10,0,"$90,000 to $109,999","Very Satisfied","Got better","Got worse","No"
516,24,"Men","ON","L4T","No",8,7,11,2,"$60,000 to $89,999","Fairly Neutral","Got worse","Stayed about the same","No"
517,43,"Women","QB","J0L","No",10,8,9,NA,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
518,21,"Women","BC","V6N","No",7,8,7,0,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
519,21,"Women","BC","V2E","No",7,8,6,1,"Less than $30,000","Very Satisfied","Got worse","Got worse","No"
520,24,"Women","BC","V3E","Yes",8,6,7,0,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
521,30,"Women","ON","M4R","No",7,5,9,NA,"$30,000 to $59,999","Don't know","Got worse","Got worse","No"
522,34,"Men","ON","L3P","Yes",8,8,9,1,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
523,32,"Men","NB","E4K","No",7,4,5,0,"$90,000 to $109,999","Fairly Neutral","Got better","Stayed about the same","No"
524,32,"Men","BC","V5S","Yes",7,6,5,NA,"$110,000 to $149,999","Not very satisfied","Got worse","Got worse","No"
525,42,"Men","SK","S0E","No",0,0,5,0,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
526,30,"Men","ON","K1T","Yes",8,9,9,0,"$110,000 to $149,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
527,30,"Men","QB","H2V","No",10,10,8,1,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
528,21,"Women","ON","P0B","Yes",6,0,8,0,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
529,27,"Women","QB","G6P","No",7,8,5,5,"$30,000 to $59,999","Not at all satisfied","Stayed about the same","Stayed about the same","No"
530,24,"Women","ON","L6H","Prefer not to say",0,0,5,0,"$200,000 or more","Prefer not to say","Stayed about the same","Stayed about the same","Prefer not to say"
531,22,"Women","ON","M1X","No",6,4,9,0,"Less than $30,000","Fairly Neutral","Don't know","Stayed about the same","No"
532,22,"Women","ON","L2H","No",6,4,7,0,"$60,000 to $89,999","Not very satisfied","Got worse","Stayed about the same","No"
533,20,"Women","ON","N9G","Prefer not to say",5,3,7,0,"$60,000 to $89,999","Neutral","Stayed about the same","Got worse","No"
534,33,"Men","ON","L9V","No",9,7,9,NA,"$90,000 to $109,999","Neutral","Got worse","Stayed about the same","No"
535,29,"Women","AB","T5Y","Yes",3,3,5,0,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
536,23,NA,"ON","M5A","Yes",8,6,8,0,"$200,000 or more","Fairly Neutral","Got worse","Got worse","No"
537,21,"Women","BC","V3W","Yes",5,5,8,0,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
538,30,"Women","QB","G7X","No",8,8,7,0,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
539,35,"Men","MN","R5M","Yes",8,6,6,0,"$30,000 to $59,999","Fairly Neutral","Don't know","Stayed about the same","Yes"
540,30,"Women","QB","G7X","No",8,8,7,0,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
541,31,"Women","SK","S7K","Yes",8,2,7,0,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
542,23,"Men","ON","K2J","Don't Know",8,8,7,1,"Less than $30,000","Neutral","Stayed about the same","Stayed about the same","No"
543,34,"Men","BC","V1Y","Yes",5,5,5,NA,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
544,33,"Women","AB","T3E","No",6,4,9,NA,"Less than $30,000","Not at all satisfied","Got worse","Got worse","No"
545,28,"Men","ON","M1M","Yes",8,8,10,0,"$200,000 or more","Very Satisfied","Got better","Got better","No"
546,40,"Men","BC","V5R","Yes",6,6,9,0,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
547,28,"Men","SK","S4H","No",7,6,5,2,"$90,000 to $109,999","Not very satisfied","Stayed about the same","Stayed about the same","Yes"
548,25,"Men","NL","A1N","Yes",10,9,8,NA,"$30,000 to $59,999","Very Satisfied","Got worse","Stayed about the same","No"
549,36,"Men","BC","V3S","No",8,8,7,NA,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","No"
550,44,"Men","QB","H2A","Yes",8,8,9,NA,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
551,20,"Women","QB","G0R","No",10,8,6,0,"$60,000 to $89,999","Fairly Neutral","Got worse","Stayed about the same","No"
552,20,"Women","ON","L7G","No",5,2,8,0,"Don’t know","Not very satisfied","Got worse","Don't know","No"
553,32,"Men","QB","H7W","Yes",9,8,9,1,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
554,40,"Women","ON","M4S","Yes",1,0,9,NA,"Less than $30,000","Not very satisfied","Got worse","Got worse","No"
555,29,"Men","BC","V1X","Yes",10,10,5,0,"$30,000 to $59,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
556,20,"Women","ON","N1G","No",10,6,5,0,"Don’t know","Neutral","Don't know","Stayed about the same","No"
557,40,"Men","AB","T6L","No",7,5,9,0,"$30,000 to $59,999","Not very satisfied","Got worse","Don't know","No"
558,37,"Women","QB","J2T","Yes",10,10,7,0,"$150,000 to $199,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
559,32,"Women","ON","M5A","Yes",9,9,11,2,"$150,000 to $199,999","Very Satisfied","Got better","Got better","Yes"
560,41,"Women","QB","J3B","Yes",5,7,4,NA,"Less than $30,000","Prefer not to say","Prefer not to say","Don't know","No"
561,22,"Women","ON","L7L","No",10,7,9,0,"$150,000 to $199,999","Neutral","Stayed about the same","Stayed about the same","No"
562,42,"Women","QB","J2C","Yes",9,3,7,0,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
563,33,"Men","ON","L3S","Yes",10,9,10,1,"$90,000 to $109,999","Not at all satisfied","Got worse","Got worse","No"
564,32,"Men","ON","N5W","No",1,5,6,0,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
565,37,"Men","QB","H3M","Yes",8,7,6,NA,"Less than $30,000","Not very satisfied","Got worse","Stayed about the same","No"
566,22,NA,"MN","R0B","No",7,8,5,5,"Prefer not to say","Don't know","Stayed about the same","Stayed about the same","Yes"
567,28,"Women","QB","J4V","No",10,8,4,NA,"Less than $30,000","Not at all satisfied","Stayed about the same","Got worse","Yes"
568,19,"Women","QB","G0A","Yes",6,8,6,0,"$30,000 to $59,999","Not very satisfied","Got worse","Stayed about the same","Yes"
569,22,"Men","ON","M9C","Yes",8,10,8,2,"$110,000 to $149,999","Very Satisfied","Stayed about the same","Got worse","No"
570,32,"Men","ON","K2J","Yes",10,8,10,1,"$60,000 to $89,999","Very Satisfied","Got worse","Got better","No"
571,31,"Women","QB","H7W","Yes",8,8,7,1,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
572,27,"Men","ON","N7L","Prefer not to say",8,7,5,0,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Don't know","No"
573,31,"Men","MN","R2C","Yes",6,4,7,NA,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
574,32,"Men","BC","V5P","Yes",6,10,7,0,"$30,000 to $59,999","Fairly Neutral","Got better","Got worse","No"
575,31,"Men","AB","T6M","Yes",6,6,2,1,"$90,000 to $109,999","Neutral","Got better","Stayed about the same","Yes"
576,23,"Women","SK","S7N","No",8,3,9,0,"Less than $30,000","Very Satisfied","Don't know","Got worse","No"
577,28,"Men","BC","V6G","Yes",8,7,9,0,"$30,000 to $59,999","Not very satisfied","Stayed about the same","Got worse","No"
578,23,"Women","SK","S9V","No",10,0,5,0,"$90,000 to $109,999","Not very satisfied","Got worse","Stayed about the same","No"
579,24,"Women","AB","T2Y","No",7,3,9,0,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
580,28,"Men","ON","M9W","Yes",1,0,7,NA,"$60,000 to $89,999","Neutral","Got worse","Got worse","No"
581,32,"Men","ON","M1J","Yes",4,8,8,2,"$60,000 to $89,999","Not very satisfied","Got worse","Got worse","No"
582,33,"Women","QB","J9P","Yes",10,10,7,1,"Less than $30,000","Very Satisfied","Got better","Got better","No"
583,19,NA,"ON","L2S","Yes",6,5,6,1,"Less than $30,000","Neutral","Don't know","Stayed about the same","No"
584,30,"Men","BC","V2P","Yes",1,3,6,NA,"$30,000 to $59,999","Not very satisfied","Don't know","Got worse","No"
585,39,"Women","ON","L9S","Yes",6,5,11,2,"$90,000 to $109,999","Not at all satisfied","Got worse","Got worse","No"
586,23,"Men","ON","K1N","Yes",10,10,4,0,"Prefer not to say","Neutral","Prefer not to say","Stayed about the same","Prefer not to say"
587,33,"Women","NB","E1A","No",4,3,6,2,"Less than $30,000","Not at all satisfied","Got worse","Got worse","No"
588,39,"Women","QB","G0X","Yes",4,2,7,2,"$90,000 to $109,999","Not at all satisfied","Stayed about the same","Stayed about the same","No"
589,21,"Women","ON","L5B","Prefer not to say",10,9,9,0,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
590,43,"Women","ON","P0S","No",10,5,9,0,"$110,000 to $149,999","Neutral","Got worse","Stayed about the same","No"
591,30,"Women","QB","J0R","No",6,6,9,2,"Less than $30,000","Fairly Neutral","Stayed about the same","Stayed about the same","No"
592,22,"Men","ON","L4G","No",10,10,5,1,"$60,000 to $89,999","Fairly Neutral","Got worse","Stayed about the same","No"
593,30,"Men","NB","E3B","Yes",5,4,9,0,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","No"
594,32,"Men","ON","K1V","Yes",7,3,6,0,"$60,000 to $89,999","Not at all satisfied","Got worse","Stayed about the same","No"
595,28,"Men","ON","L6V","No",8,4,5,0,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
596,27,"Men","BC","V5J","Yes",9,9,9,1,"$30,000 to $59,999","Very Satisfied","Got better","Got better","No"
597,29,"Men","BC","V8A","No",6,2,5,0,"$60,000 to $89,999","Fairly Neutral","Don't know","Got worse","No"
598,32,"Men","ON","N3H","No",5,7,2,NA,"$60,000 to $89,999","Don't know","Don't know","Got better","No"
599,28,"Men","AB","T8N","No",7,3,9,1,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","Yes"
600,44,"Men","QB","J6E","No",8,7,7,0,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
601,20,"Women","AB","T5Z","Prefer not to say",7,3,8,0,"Prefer not to say","Neutral","Stayed about the same","Got worse","No"
602,30,"Women","QB","H6E","Yes",0,5,7,0,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
603,20,"Women","MN","R3L","Yes",6,5,4,0,"Less than $30,000","Neutral","Don't know","Don't know","Prefer not to say"
604,30,NA,"ON","P7B","Yes",7,5,7,0,"Don’t know","Neutral","Got worse","Got worse","No"
605,26,"Women","QB","H8N","No",8,8,9,1,"$110,000 to $149,999","Very Satisfied","Got worse","Stayed about the same","Yes"
606,36,"Women","QB","G8B","Yes",4,4,6,0,"$60,000 to $89,999","Very Satisfied","Got better","Got better","Yes"
607,22,"Women","BC","V8E","No",8,6,9,0,"Prefer not to say","Fairly Neutral","Stayed about the same","Stayed about the same","No"
608,44,"Men","QB","J1L","No",8,0,7,0,"$60,000 to $89,999","Not at all satisfied","Stayed about the same","Stayed about the same","No"
609,20,"Women","MN","R2V","No",5,2,6,0,"$30,000 to $59,999","Neutral","Got worse","Got worse","Yes"
610,38,"Men","ON","L3V","No",5,5,4,NA,"Less than $30,000","Neutral","Don't know","Stayed about the same","Yes"
611,32,"Women","ON","L7M","Yes",8,5,9,1,"$90,000 to $109,999","Fairly Neutral","Got worse","Got worse","No"
612,42,"Men","QB","H1S","Yes",7,7,9,NA,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
613,39,"Men","ON","L4S","Yes",8,9,10,1,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
614,25,"Women","ON","N1H","No",5,5,4,0,"$60,000 to $89,999","Neutral","Got worse","Got worse","No"
615,19,"Men","ON","L4E","No",5,3,4,0,"$90,000 to $109,999","Neutral","Prefer not to say","Prefer not to say","No"
616,31,"Women","QB","J3G","No",5,5,7,0,"Less than $30,000","Not very satisfied","Got worse","Don't know","No"
617,43,"Men","QB","G8W","No",9,10,6,0,"$110,000 to $149,999","Not very satisfied","Got worse","Stayed about the same","No"
618,20,"Men","ON","L0G","Yes",10,9,5,1,"$60,000 to $89,999","Fairly Neutral","Got better","Got better","No"
619,41,"Men","QB","G1K","Yes",6,7,7,NA,"Less than $30,000","Neutral","Got worse","Got worse","No"
620,34,"Women","QB","G2M","Yes",8,5,9,1,"$110,000 to $149,999","Fairly Neutral","Don't know","Don't know","No"
621,24,"Women","QB","J3L","Yes",6,4,7,NA,"$30,000 to $59,999","Neutral","Got worse","Stayed about the same","No"
622,34,"Women","QB","H1B","No",5,3,5,NA,"$30,000 to $59,999","Neutral","Don't know","Don't know","No"
623,49,"Women","SK","S6V","Yes",5,5,10,1,"$110,000 to $149,999","Very Satisfied","Got worse","Got worse","No"
624,25,"Women","QB","J6E","No",8,8,5,0,"$30,000 to $59,999","Fairly Neutral","Don't know","Don't know","No"
625,33,"Men","SK","S7H","No",9,9,4,0,"$60,000 to $89,999","Not at all satisfied","Got worse","Got worse","Yes"
626,35,"Men","QB","G1H","No",8,7,8,NA,"$60,000 to $89,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
627,43,"Men","AB","T3R","No",7,3,5,NA,"Less than $30,000","Neutral","Got worse","Got worse","No"
628,31,"Men","AB","T2E","Yes",9,7,5,0,"$60,000 to $89,999","Fairly Neutral","Got better","Got better","No"
629,32,"Men","QB","H1G","Yes",9,10,9,1,"Less than $30,000","Very Satisfied","Got better","Got better","No"
630,29,"Women","SK","S0G","Yes",10,4,7,NA,"$30,000 to $59,999","Neutral","Got worse","Stayed about the same","No"
631,43,"Women","AB","T6M","No",5,1,9,1,"$110,000 to $149,999","Very Satisfied","Don't know","Got worse","Yes"
632,39,"Women","ON","M5M","Yes",7,6,11,NA,"Less than $30,000","Fairly Neutral","Stayed about the same","Stayed about the same","No"
633,44,"Women","ON","M9V","Yes",10,10,9,2,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
634,42,"Women","QB","J4Z","Don't Know",5,4,7,NA,"Less than $30,000","Neutral","Got worse","Stayed about the same","No"
635,33,"Men","NS","B2W","No",5,0,5,0,"$60,000 to $89,999","Not very satisfied","Got worse","Got worse","No"
636,42,"Men","AB","T1B","Yes",6,5,8,0,"$150,000 to $199,999","Neutral","Got worse","Got worse","Yes"
637,25,"Men","AB","T7X","No",6,7,9,0,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
638,24,"Men","ON","L5N","Yes",10,9,9,NA,"$150,000 to $199,999","Very Satisfied","Got better","Got better","No"
639,22,"Women","AB","T4J","No",6,6,6,0,"$30,000 to $59,999","Neutral","Got worse","Stayed about the same","No"
640,27,"Women","QB","J4Y","No",3,5,11,0,"$110,000 to $149,999","Neutral","Stayed about the same","Stayed about the same","No"
641,20,"Men","ON","K0C","No",10,10,5,0,"$60,000 to $89,999","Not at all satisfied","Got worse","Got worse","No"
642,40,"Men","QB","G5L","Yes",7,7,5,0,"$60,000 to $89,999","Neutral","Got worse","Got worse","No"
643,21,NA,"BC","V8S","No",9,6,5,NA,"$30,000 to $59,999","Not very satisfied","Stayed about the same","Got worse","No"
644,27,"Women","BC","V2R","No",7,5,10,0,"Prefer not to say","Very Satisfied","Stayed about the same","Got worse","Yes"
645,30,"Women","QB","G0R","No",6,0,6,2,"Less than $30,000","Not at all satisfied","Got worse","Stayed about the same","No"
646,32,"Men","SK","S0G","No",7,5,9,0,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
647,33,"Men","QB","J4Z","Yes",10,10,8,0,"$110,000 to $149,999","Very Satisfied","Got better","Got better","Yes"
648,43,"Men","ON","L9Z","Yes",10,9,7,2,"$90,000 to $109,999","Fairly Neutral","Got worse","Stayed about the same","No"
649,25,"Women","ON","N1R","No",8,6,7,0,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
650,43,"Men","ON","M6K","Yes",5,5,5,NA,"$60,000 to $89,999","Neutral","Got worse","Got worse","No"
651,34,"Women","ON","L9T","No",8,7,9,2,"$150,000 to $199,999","Fairly Neutral","Got worse","Got worse","No"
652,29,"Men","ON","M6N","No",10,10,4,NA,"Prefer not to say","Neutral","Got worse","Got worse","Yes"
653,28,"Women","AB","T1K","Prefer not to say",4,1,13,0,"Don’t know","Prefer not to say","Got worse","Got worse","No"
654,33,"Men","ON","K0J","Yes",7,4,7,1,"$60,000 to $89,999","Not at all satisfied","Got worse","Got worse","Yes"
655,20,"Men","BC","V4C","Prefer not to say",8,8,9,0,"Less than $30,000","Neutral","Don't know","Got worse","Prefer not to say"
656,40,"Women","MN","R3T","No",7,5,10,0,"$60,000 to $89,999","Neutral","Stayed about the same","Don't know","No"
657,23,"Women","NB","E2J","Don't Know",10,8,9,0,"$90,000 to $109,999","Not at all satisfied","Got worse","Got worse","No"
658,22,"Men","ON","M3J","No",7,6,5,0,"$60,000 to $89,999","Neutral","Stayed about the same","Got better","No"
659,30,"Men","NL","A1N","Yes",8,5,6,0,"Don’t know","Neutral","Stayed about the same","Stayed about the same","No"
660,22,"Men","ON","K0A","Yes",8,1,5,NA,"$30,000 to $59,999","Neutral","Got worse","Stayed about the same","No"
661,42,"Men","QB","G3E","Yes",5,5,9,2,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
662,28,"Women","QB","J0H","Don't Know",8,7,9,2,"Prefer not to say","Neutral","Got worse","Don't know","No"
663,40,"Men","AB","T5K","Yes",7,7,9,2,"$60,000 to $89,999","Neutral","Got worse","Got worse","No"
664,61,"Men","AB","T9A","Yes",7,5,7,0,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
665,20,"Men","NS","B0K","No",10,3,8,0,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Got better","No"
666,24,"Men","ON","M1P","Yes",9,8,5,NA,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Got better","Yes"
667,37,"Men","QB","G8B","Yes",0,0,5,0,"$60,000 to $89,999","Not at all satisfied","Don't know","Don't know","No"
668,26,"Men","QB","H1X","No",6,4,6,1,"Less than $30,000","Not at all satisfied","Got worse","Got worse","No"
669,33,"Women","MN","R3C","No",2,3,7,0,"$60,000 to $89,999","Neutral","Got worse","Got worse","No"
670,21,"Women","AB","T4M","No",9,4,5,0,"Less than $30,000","Not very satisfied","Stayed about the same","Got worse","No"
671,42,"Men","QB","H1X","Yes",8,7,9,0,"$150,000 to $199,999","Fairly Neutral","Got worse","Stayed about the same","No"
672,36,"Women","ON","N2N","Yes",6,6,7,0,"$30,000 to $59,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
673,38,"Women","ON","M3J","Yes",10,0,9,1,"$90,000 to $109,999","Not very satisfied","Got worse","Got worse","No"
674,35,"Men","BC","V6B","No",5,5,10,NA,"$90,000 to $109,999","Not very satisfied","Got worse","Got worse","No"
675,43,"Women","QB","J5R","Yes",5,6,10,1,"$60,000 to $89,999","Not very satisfied","Stayed about the same","Got worse","No"
676,20,"Women","NS","B0E","Yes",5,5,1,2,"Less than $30,000","Fairly Neutral","Stayed about the same","Stayed about the same","Yes"
677,40,"Men","QB","H7K","Yes",8,7,11,1,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
678,41,"Women","QB","H2J","Yes",8,7,9,0,"Prefer not to say","Fairly Neutral","Stayed about the same","Stayed about the same","No"
679,29,"Men","AB","T8V","No",7,3,5,1,"$150,000 to $199,999","Not very satisfied","Got worse","Got worse","No"
680,21,"Women","AB","T9G","No",7,4,8,0,"Less than $30,000","Fairly Neutral","Stayed about the same","Stayed about the same","No"
681,26,"Women","AB","T5H","No",7,5,5,NA,"Less than $30,000","Neutral","Stayed about the same","Stayed about the same","No"
